day,w_Ret,w_Corp,w_Leisure,w_OTA,w_Discount,w_Promo,w_Group,w_Consortia,w_Misc
269,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0
271,1,1,1,1,1,1,1,1,1
272,1,1,1,1,1,1,1,1,1
273,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0
278,1,1,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1,1,1
280,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0
282,0,0,1,1,0,0,0,1,0
283,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0
285,1,1,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1,1,1
287,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0
292,1,1,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1,1,1
294,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1
301,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
306,1,1,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1,1,1
308,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,1,1,1,1,1,1,1,1,1
314,2,3,4,1,4,2,1,2,1
315,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
320,1,1,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1,1
322,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0
327,2,1,1,4,4,4,1,1,1
328,1,1,1,1,1,1,1,1,1
329,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0
334,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1
336,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
341,1,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,1
343,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0
348,1,1,1,1,1,1,1,1,1
349,1,1,1,1,1,1,1,1,1
350,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
355,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1
357,0,0,0,0,0,0,0,0,0
358,4,5,6,4,0,0,0,4,0
359,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0
362,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1
364,0,0,0,0,0,0,0,0,0
