,day_index,Consortia,Corp,Discount,Group,Misc,OTA,Promo,Ret,Leisure,day_index_mean,Consortia_mean,Corp_mean,Discount_mean,Group_mean,Misc_mean,OTA_mean,Promo_mean,Ret_mean,Leisure_mean
112,112,20,90,20,165,580,55,30,140,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
113,113,30,135,30,5,515,45,30,115,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
114,114,30,75,55,0,625,30,10,150,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
115,115,25,30,125,0,540,110,55,115,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
116,116,10,15,120,0,660,170,85,110,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
117,117,15,50,35,10,555,60,5,50,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
118,118,10,80,45,5,650,25,10,95,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
119,119,35,125,50,5,715,65,15,95,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
120,120,10,80,5,0,1010,10,5,70,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
121,121,0,70,90,0,570,65,40,80,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
122,122,30,10,140,0,605,145,25,180,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
123,123,10,20,105,15,635,110,25,170,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
124,124,25,60,55,0,1115,30,25,50,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
125,125,40,185,25,0,575,25,0,35,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
126,126,30,265,115,5,600,105,10,135,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
127,127,50,90,110,40,565,115,20,85,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
128,128,120,85,120,35,625,35,20,245,0,182.0,19.561643835616437,68.6986301369863,55.93150684931507,18.45205479452055,659.2465753424658,69.5068493150685,27.698630136986303,120.63013698630137,1
